patient,slice,SSIM,MS-SSIM,PSNR,MAE,MSE,VIF,SD,EN
1BA111,000.png,0.8076785521403451,0.9087609648704529,19.767606957834218,0.1005953922867775,0.010549680329859257,0.4412153743197797,0.05625935271382332,3.346878007614425
1BA111,001.png,0.8041176608293503,0.9206206202507019,19.311540512995087,0.1051967665553093,0.011717796325683594,0.4692484222671413,0.05856898054480553,3.883122852045733
1BA111,002.png,0.7958259935878217,0.9200286865234375,18.735403647989582,0.11103217303752899,0.013380108401179314,0.5445624593388428,0.0602780319750309,4.237671671489018
1BA111,003.png,0.8215811990594044,0.9246695637702942,19.926459687478804,0.09851828962564468,0.010170774534344673,0.5664383082941955,0.050911642611026764,3.5024361521189995
1BA111,004.png,0.8164738802341223,0.9401718974113464,19.743321425855225,0.10043664276599884,0.010608838871121407,0.5424920528920806,0.05179480463266373,3.5302699314557
1BA111,005.png,0.7975849689598866,0.9182295203208923,18.83265799258641,0.10880820453166962,0.013083809055387974,0.5090417014773356,0.06526739150285721,4.116177606211208
1BA111,006.png,0.7998750317788124,0.9076860547065735,19.588289080640887,0.10119079798460007,0.010994388721883297,0.40863050518731076,0.059592828154563904,3.808075536432278
1BA111,007.png,0.8059302422648408,0.9188851714134216,19.654278979569252,0.10007230937480927,0.01082859467715025,0.4363958450419381,0.052864767611026764,3.947490548913569
1BA111,008.png,0.8086066672396399,0.9192829728126526,19.311398993824884,0.10395532846450806,0.011718178167939186,0.5811228018874735,0.06587674468755722,4.3278448538446685
1BA111,009.png,0.8031506330223838,0.9164392948150635,19.885584549911364,0.09766336530447006,0.010266952216625214,0.4329477525801103,0.056549884378910065,3.637645041797838
1BA111,010.png,0.8223477584363893,0.9287676215171814,19.964428347462096,0.09678184986114502,0.010082243010401726,0.5792401462573343,0.06092459708452225,3.695241296795308
1BA111,011.png,0.8129574744945132,0.9147218465805054,19.964418318250747,0.09635643661022186,0.010082266293466091,0.4879671560635417,0.06045589596033096,3.7043894077728403
1BA111,012.png,0.792186118043764,0.8942603468894958,19.816799042753765,0.09759660810232162,0.01043085940182209,0.33662841641752894,0.05790334194898605,3.763717613682545
1BA111,013.png,0.8042491285449602,0.9089653491973877,19.403907640775184,0.10043999552726746,0.011471210047602654,0.5089875152915551,0.07132100313901901,4.359747258053061
1BA111,014.png,0.7993878380344163,0.904251754283905,19.50119996378206,0.0995313972234726,0.011217084713280201,0.42916733236809607,0.06617795675992966,4.259723685462685
1BA111,015.png,0.7841133976961691,0.8924721479415894,18.764722110275542,0.10755451768636703,0.013290085829794407,0.5062054912119686,0.0683794841170311,4.692854181537269
1BA111,016.png,0.8174421494154734,0.9080746173858643,20.057173819942648,0.09423869103193283,0.009869215078651905,0.5080422003287464,0.06775528192520142,3.9440613588740954
1BA111,017.png,0.7768368992386437,0.8901313543319702,19.15244995669898,0.10335822403430939,0.012155001051723957,0.41244691180072,0.06680252403020859,4.628416336956199
1BA111,018.png,0.8056924841003087,0.8960087299346924,20.16432923745341,0.09256625920534134,0.009628687053918839,0.4167641657232594,0.06750565022230148,3.9219426053354893
1BA111,019.png,0.7811018456083769,0.8862675428390503,19.050515411992027,0.1030876487493515,0.012443669140338898,0.41667687523017233,0.07422304153442383,4.28780639278834
1BA111,020.png,0.7611141924444987,0.8775262236595154,18.179499858630734,0.11276836693286896,0.015207226388156414,0.40763233775918467,0.07617897540330887,4.947641435467697
1BA111,021.png,0.774004861364277,0.8881663680076599,18.319355841115915,0.11121775209903717,0.014725308865308762,0.46374059367820725,0.08006948977708817,5.10109572933236
1BA111,022.png,0.8066854180533244,0.9150488376617432,19.360785432165493,0.09998203814029694,0.011585677973926067,0.5585967505357233,0.08107127249240875,4.7148675046560236
1BA111,023.png,0.7872737282806135,0.9024322628974915,18.433550067209993,0.10995376855134964,0.01434316486120224,0.5196286197487061,0.08916370570659637,4.881897035179746
1BA111,024.png,0.7697469974355123,0.8789263367652893,18.833402766194954,0.10458777099847794,0.013081565499305725,0.39403402838227375,0.07908610254526138,4.813331555103175
1BA111,025.png,0.7934730738358674,0.8929752111434937,19.94278474689186,0.09366654604673386,0.010132614523172379,0.45752216004636037,0.07122551649808884,4.43256307577885
1BA111,026.png,0.7659811884929874,0.8735787272453308,19.324096759139394,0.09879445284605026,0.011683966964483261,0.3257782611201732,0.07923557609319687,4.6404926153134465
1BA111,027.png,0.800503782479859,0.9155632853507996,19.144461449187965,0.10087396204471588,0.012177379801869392,0.5126588533468199,0.08717509359121323,4.69336766690295
1BA111,028.png,0.7889710982408971,0.8830305337905884,20.320859782520007,0.08978153765201569,0.009287824854254723,0.3964273037609886,0.06888999044895172,4.169023726449035
1BA111,029.png,0.7763542001941949,0.9036383628845215,18.298727880603284,0.11020505428314209,0.014795416966080666,0.4930471499872336,0.0920083299279213,4.953567002878536
1BA111,030.png,0.7866321394372675,0.9060835242271423,19.076719673575646,0.10067220032215118,0.012368813157081604,0.4782993434862401,0.0839536041021347,5.077859238460698
1BA111,031.png,0.7978104537406899,0.9026462435722351,19.40471163004257,0.09776586294174194,0.01146908663213253,0.491241435620553,0.08577723801136017,4.790250886237854
1BA111,032.png,0.7944812315989211,0.8941739201545715,19.586448201045197,0.09601245820522308,0.010999049991369247,0.47830977096967653,0.0842948630452156,5.011133322096368
1BA111,033.png,0.7838638663630746,0.8852676153182983,20.041712328721403,0.09207887202501297,0.009904413484036922,0.3863600532595229,0.0799793154001236,4.661620545307375
1BA111,034.png,0.8166289328205399,0.9120078682899475,20.537719715372944,0.08724548667669296,0.008835436776280403,0.5461274820670551,0.07937776297330856,4.45510524975964
